"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"114","Quercus virginiana",14.6813871192497,0.146813871192497,14.6813871192497,0.146813871192497,-39862.3063280819,-398.623063280819
"115","Robinia pseudoacacia",12.7374521333696,0.127374521333696,13.4097948297927,0.134097948297927,-92643.9425152205,-926.439425152205
"116","Sabal palmetto",15.804128080002,0.15804128080002,15.804128080002,0.15804128080002,-19807.2534172026,-198.072534172026
"117","Salix",17.4964594260359,0.174964594260359,17.4964594260359,0.174964594260359,-1350.2651036502,-13.502651036502
"118","Salix nigra",14.3002425911568,0.143002425911568,14.3002425911568,0.143002425911568,-31080.128333721,-310.80128333721
"119","Sassafras albidum",11.5050858376496,0.115050858376496,12.3226672530455,0.123226672530455,-95479.0233237433,-954.790233237433
"120","Taxodium distichum",14.2136147321478,0.142136147321478,14.2242880093547,0.142242880093547,-77548.2572081263,-775.482572081263
"121","Thuja occidentalis",17.7033741305279,0.177033741305279,20.6415191582761,0.206415191582761,-218877.720668053,-2188.77720668053
"122","Thuja plicata",19.8745156104247,0.198745156104247,19.8745156104247,0.198745156104247,-27959.5669103527,-279.595669103527
"123","Tilia americana",12.0829317040838,0.120829317040838,15.3520362926008,0.153520362926008,-268928.531227085,-2689.28531227085
"124","Triadica sebifera",12.2686407088801,0.122686407088801,12.2686407088801,0.122686407088801,-22912.3459721128,-229.123459721128
"125","Tsuga canadensis",17.3701854490224,0.173701854490224,20.6180457066449,0.206180457066449,-200614.548500887,-2006.14548500887
"126","Tsuga heterophylla",18.7514615270836,0.187514615270836,20.644725144086,0.20644725144086,-136011.032177421,-1360.11032177421
"127","Tsuga mertensiana",19.236176739782,0.19236176739782,19.2656043258954,0.192656043258954,-49825.6272459012,-498.256272459012
"128","Ulmus alata",13.3233210317983,0.133233210317983,13.3233210317983,0.133233210317983,-98398.5395843646,-983.985395843646
"129","Ulmus americana",12.4404686565871,0.124404686565871,14.9134507381632,0.149134507381632,-243024.540363586,-2430.24540363586
"130","Ulmus rubra",11.5907902979918,0.115907902979918,12.0358989563749,0.120358989563749,-69520.15078138,-695.201507813799
