"","X","species","mat.low","mat.high","mat","map.low","map.high","map","tmin.low","tmin.high","tmin","etp.low","etp.high","etp","la","sla","ssd","sm","mean_ldmc","min_ldmc","max_ldmc","shade_tol_mean","shade_tol_sd","group","new_gp"
"63",63,"Picea abies",0.4,10.6,5.94665260473539,500,1579,764.753721777229,-14.9,1.2,-6.48257496117144,36.26,75.03,53.6558489517315,32.1027571428571,4.49251918257402,0.423023823142857,6.05499607142857,0.421707687289884,0.0824948907542387,0.623076923076923,4.45,0.5,"D","gymno"
"64",64,"Picea glauca",0,9,7.01692449780651,347,1330.75,798.186331101362,-20.6,0.3,-5.94045255137382,46.53,79.6725,64.1566174093743,36.3076216666667,9.95397762369063,0.398192677,2.29860031481481,0.447638448655154,0.415191256830601,0.505645,4.15,0.17,"D","gymno"
"65",65,"Picea mariana",-3.7175,10.5,4.76816192560175,358.475,1511.175,830.956236323851,-25.5175,-2.8,-13.2224288840263,42.895,101.12225,65.9293544857768,62.3238002658173,5.94929083102422,0.437299490666667,1.08654760714286,NA,NA,NA,4.08,0.18,"D","gymno"
"66",66,"Picea rubens",4.2,9.32749999999999,6.66831932773109,837.725,1721,1111.60672268908,-15.9,-5.5,-11.8756302521008,60.87075,88.8875,69.2631008403361,17.17738371,8.36073333333333,0.386666666666667,3.49279539993333,NA,NA,NA,4.39,0.39,"D","gymno"
"67",67,"Picea sitchensis",5.4,11.2,8.0225936123348,629.975,2200.025,1219.99702643172,-3.8,4.2,-0.426200440528634,46.29,75.561,60.0404972830562,15.4789289752452,9.55296824046133,0.356787324333333,2.01444135714286,0.371766462505161,0.27585,0.402759715829,3.85,0.36,"D","gymno"
"68",68,"Pinus albicaulis",-1.8,4.6,1.38562992125984,372,2158.15,931.340551181102,-16.4,-7.1675,-11.7698818897638,53.0335,95.98625,72.3040354330709,NA,4.175,0.454386346,142.223146238095,NA,NA,NA,1,NA,"D","gymno"
"69",69,"Pinus banksiana",0,9.48,5.31180496150556,447.8,1401,840.680068434559,-23.48,-3.3,-13.5762189905902,50.3425,86.7525,67.529000853971,189.006057998571,9.07108492647035,0.43,3.60058245057778,NA,NA,NA,1.36,0.33,"D","gymno"
"70",70,"Pinus canariensis",8.285,18.7,15.823595505618,338,1069,578.449438202247,-4.39,8.74499999999999,3.22038523274478,93.33,121.32,104.208266452648,1435.37,9.67359922745833,0.61,105.599922,NA,NA,NA,NA,NA,"D","gymno"
"71",71,"Pinus clausa",20.2,23.9,21.5679611650485,1270,1563.625,1379.1359223301,8.1,16.1,10.4368932038835,107.49,138.5425,121.727669902913,70.8466666666667,6.69854568576,0.51,18.3541138333333,NA,NA,NA,2.21,NA,"D","gymno"
"72",72,"Pinus contorta",0.2,11.775,7.14092150792205,317,2390.75,931.748497541431,-15.6,5,-3.00865051903114,40.78475,96.2405,64.4041090909091,50,5.70291666666667,0.431950143166667,4.24909477083333,NA,NA,NA,4.12,NA,"D","gymno"
