"id_allom";"dbh_cm";"bal_m2ha";"species";"order";"h_m";"cradius_m";"cratio";"crown_lad";"e";"epot"
73;15;30;"Pinus nigra";"G";10.1060888117606;1.85633431040002;0.66115947588036;0.5;42331.8288829669;42331.8288829669
73;30;0;"Pinus nigra";"G";12.1034886384464;2.4424192769809;0.47057973850165;0.5;71588.9043588224;71588.9043588224
73;30;30;"Pinus nigra";"G";16.6928678329693;2.75593948386392;0.659360762225069;0.5;166308.428212491;166308.428212491
74;15;0;"Pinus nigra";"G";7.26179043395521;1.71565401973991;0.532249571901668;0.5;21528.6305582464;21528.6305582464
74;15;30;"Pinus nigra";"G";10.1963820616075;1.92918052813752;0.66866173108596;0.5;46312.944456789;46312.944456789
74;30;0;"Pinus nigra";"G";12.0261515486621;2.43608016517821;0.505296850250043;0.5;77750.8007884231;77750.8007884231
74;30;30;"Pinus nigra";"G";16.8860884978973;2.73926931978762;0.644316565233614;0.5;164579.28581466;164579.28581466
75;15;0;"Pinus nigra";"G";7.38931098863485;1.65011497065056;0.619934052590822;0.5;24054.3571309303;24054.3571309303
75;15;30;"Pinus nigra";"G";10.4457383559758;1.90459136221452;0.815095143471002;0.5;53527.7584850684;53527.7584850684
75;30;0;"Pinus nigra";"G";12.0935885012072;2.422814419817;0.648086080169328;0.5;90288.8375355642;90288.8375355642
75;30;30;"Pinus nigra";"G";17.0958376853734;2.79645448850935;0.832692647511983;0.5;195851.717278019;195851.717278019
76;15;0;"Pinus nigra";"G";7.34423702539891;1.71347247720276;0.637437972387722;0.5;26109.7596324781;26109.7596324781
76;15;30;"Pinus nigra";"G";10.1904482720219;1.97780422829458;0.660721575660675;0.5;48099.575255458;48099.575255458
76;30;0;"Pinus nigra";"G";12.0828340720426;2.44912577258527;0.587813181873996;0.5;87109.386249666;87109.386249666
76;30;30;"Pinus nigra";"G";16.7654577548015;2.82694433268751;0.612345583950431;0.5;167493.25963866;167493.25963866
77;15;0;"Pinus nigra";"G";7.39840965986163;1.71962230572299;0.409852200211477;0.5;20053.889327567;20053.889327567
77;15;30;"Pinus nigra";"G";10.1989846914013;1.83106990912003;0.650537197511827;0.5;40804.6602074236;40804.6602074236
77;30;0;"Pinus nigra";"G";12.1429062374028;2.48782365757475;0.421357701426577;0.5;62460.135852185;62460.135852185
77;30;30;"Pinus nigra";"G";16.7394508439141;2.64905789103895;0.661228893266156;0.5;157613.267475431;157613.267475431
78;15;0;"Pinus nigra";"G";7.37334525752044;1.65774952380203;0.555523413023757;0.5;21438.6382586777;21438.6382586777
78;15;30;"Pinus nigra";"G";10.3536448894697;1.92848871149709;0.737119811675874;0.5;51685.9350430206;51685.9350430206
78;30;0;"Pinus nigra";"G";12.0871745961593;2.40657692726364;0.523002906185293;0.5;79114.220736373;79114.220736373
78;30;30;"Pinus nigra";"G";16.9727998777772;2.79961258980371;0.710973200876893;0.5;183984.992528408;183984.992528408
79;15;0;"Pinus nigra";"G";7.32974044151538;1.6987943862098;0.406501065711817;0.5;19478.0504179651;19478.0504179651
79;15;30;"Pinus nigra";"G";10.3579409679089;2.15096251742389;0.567335304414851;0.5;58195.292767201;58195.292767201
79;30;0;"Pinus nigra";"G";12.0372083649355;2.41413854540585;0.434160320469291;0.5;62727.1777852407;62727.1777852407
79;30;30;"Pinus nigra";"G";17.0102467689353;3.05670984386859;0.594967480646899;0.5;204274.940194566;204274.940194566
80;15;0;"Pinus nigra";"G";7.39087791313681;1.69022766469549;0.486069444927274;0.5;20898.1608080217;20898.1608080217
80;15;30;"Pinus nigra";"G";10.1668344431842;1.9609997879781;0.674520311129201;0.5;47963.0485650019;47963.0485650019
80;30;0;"Pinus nigra";"G";12.1350483956315;2.41657448169014;0.466124541553853;0.5;69628.322512073;69628.322512073
80;30;30;"Pinus nigra";"G";16.6928786334194;2.80370635578339;0.656723907488891;0.5;170420.534181421;170420.534181421
81;15;0;"Pinus nigra";"G";7.48443710359483;1.6342825861812;0.424320933131435;0.5;19368.4983129887;19368.4983129887
81;15;30;"Pinus nigra";"G";10.0577059267373;1.94415452966483;0.549902448083241;0.5;41521.0438383134;41521.0438383134
81;30;0;"Pinus nigra";"G";12.2039387646936;2.39419793439674;0.45454006571514;0.5;66450.5519639008;66450.5519639008
81;30;30;"Pinus nigra";"G";16.3998475161537;2.8481553915031;0.580053618631624;0.5;158271.279173363;158271.279173363
82;15;0;"Pinus nigra";"G";7.35439318204489;1.65163354608986;0.379627596766748;0.5;17707.2666609349;17707.2666609349
82;15;30;"Pinus nigra";"G";10.1314989933158;1.92163174292276;0.464038545364397;0.5;40991.5215855274;40991.5215855274
82;30;0;"Pinus nigra";"G";12.1239218064113;2.42283979202984;0.437187299318423;0.5;63830.5536379338;63830.5536379338
82;30;30;"Pinus nigra";"G";16.7020580129689;2.81890971723314;0.523594805828811;0.5;153015.011575669;153015.011575669
83;15;0;"Pinus nigra";"G";7.41226138768866;1.71466800358338;0.594304224970072;0.5;24741.9594905006;24741.9594905006
83;15;30;"Pinus nigra";"G";10.0620405096641;1.85870684296255;0.665258056142605;0.5;42694.9686416385;42694.9686416385
83;30;0;"Pinus nigra";"G";12.0814090645213;2.45503886516112;0.537828728400828;0.5;83067.6816630446;83067.6816630446
83;30;30;"Pinus nigra";"G";16.4003427648877;2.66127176157579;0.612214872084722;0.5;145715.497494244;145715.497494244
84;15;0;"Pinus nigra";"G";7.4544379689105;1.74885016500909;0.4433590955135;0.5;21576.6536147472;21576.6536147472
84;15;30;"Pinus nigra";"G";9.97041446686729;1.84335774174243;0.6587161236422;0.5;41457.7622432853;41457.7622432853
84;30;0;"Pinus nigra";"G";12.1382206459105;2.49801708769769;0.488216683828282;0.5;77101.1140720504;77101.1140720504
84;30;30;"Pinus nigra";"G";16.2350389438818;2.63300952233863;0.698038843423142;0.5;153458.291840734;153458.291840734
85;15;0;"Pinus nigra";"G";7.36292654405441;1.73206915173841;0.508442876973734;0.5;21756.8913252476;21756.8913252476
85;15;30;"Pinus nigra";"G";10.1110667869521;1.91696653653637;0.636834224486339;0.5;43186.9267954276;43186.9267954276
85;30;0;"Pinus nigra";"G";12.0971905651857;2.44756555335328;0.517189395769161;0.5;80019.9588817283;80019.9588817283
85;30;30;"Pinus nigra";"G";16.6123485012695;2.70884176711322;0.644891781455141;0.5;158884.906241232;158884.906241232
86;15;0;"Pinus nigra";"G";7.35275393482119;1.60833816714153;0.442212151412867;0.5;18511.4848142693;18511.4848142693
86;15;30;"Pinus nigra";"G";10.0933132771837;2.02963999182128;0.572650405430428;0.5;49133.6214021279;49133.6214021279
86;30;0;"Pinus nigra";"G";12.1679952567394;2.37849641363465;0.46699285945289;0.5;68453.1359097956;68453.1359097956
86;30;30;"Pinus nigra";"G";16.7033181268214;3.00154006174969;0.596918329836371;0.5;190898.837142444;190898.837142444
87;15;0;"Pinus nigra";"G";7.47659124348011;1.69917751185352;0.476825264182884;0.5;21294.9860187824;21294.9860187824
87;15;30;"Pinus nigra";"G";10.0008190392335;1.77751600114409;0.671800300783939;0.5;40219.9644372127;40219.9644372127
87;30;0;"Pinus nigra";"G";12.2012757769462;2.48794071969067;0.473722043864275;0.5;74003.2133738204;74003.2133738204
87;30;30;"Pinus nigra";"G";16.3206395962104;2.60264416654389;0.669050890303679;0.5;148707.310609609;148707.310609609
88;15;0;"Pinus nigra";"G";7.39604155139655;1.71118336414627;0.680254354261772;0.5;27585.5462293671;27585.5462293671
88;15;30;"Pinus nigra";"G";10.1017418958264;1.82997261980874;0.815415732030314;0.5;47762.4666866622;47762.4666866622
88;30;0;"Pinus nigra";"G";12.1606604894156;2.47933074041797;0.648063793061334;0.5;93653.3015225007;93653.3015225007
88;30;30;"Pinus nigra";"G";16.609405543923;2.6514442960814;0.792685607899242;0.5;170480.900608644;170480.900608644
89;15;0;"Pinus nigra";"G";7.38089266117991;1.69554198434259;0.654424146589253;0.5;26359.0578051556;26359.0578051556
89;15;30;"Pinus nigra";"G";10.1918956473041;2.03824570506491;0.525532275644048;0.5;49316.6622766857;49316.6622766857
89;30;0;"Pinus nigra";"G";12.1315987213371;2.44683875226961;0.601239186755;0.5;88275.9891115181;88275.9891115181
89;30;30;"Pinus nigra";"G";16.7519016843512;2.94139491906101;0.468617696649034;0.5;155656.081853464;155656.081853464
90;15;0;"Pinus nigra";"G";7.29782642614353;1.67674504792336;0.705375978257058;0.5;26069.8942803031;26069.8942803031
90;15;30;"Pinus nigra";"G";9.99251066786104;1.92153248303709;0.79487125269438;0.5;51488.7310900641;51488.7310900641
90;30;0;"Pinus nigra";"G";12.1423003854407;2.41574111462047;0.618132804849943;0.5;87876.717213929;87876.717213929
90;30;30;"Pinus nigra";"G";16.6257813010232;2.76841433234019;0.723750415219754;0.5;177565.401199787;177565.401199787
91;15;0;"Pinus nigra";"G";7.24715899812451;1.69331239944363;0.59850105852611;0.5;23770.2158686579;23770.2158686579
91;15;30;"Pinus nigra";"G";10.2065072376234;1.851162908078;0.711681494522422;0.5;45901.2550394256;45901.2550394256
91;30;0;"Pinus nigra";"G";12.0244769579871;2.45892948188095;0.559934270910697;0.5;85171.8036303912;85171.8036303912
91;30;30;"Pinus nigra";"G";16.9346237790688;2.68815078182448;0.678139890900559;0.5;166382.804881602;166382.804881602
92;15;0;"Pinus nigra";"G";7.30761670457233;1.6710141352489;0.346003485507301;0.5;16075.2523386774;16075.2523386774
92;15;30;"Pinus nigra";"G";9.98612613252856;2.04540754439646;0.465943853762629;0.5;44790.2355043111;44790.2355043111
92;30;0;"Pinus nigra";"G";12.1922829023195;2.41144201693981;0.423308304543098;0.5;59991.3635583375;59991.3635583375
92;30;30;"Pinus nigra";"G";16.6612015692959;2.95172948587213;0.547607916261833;0.5;170448.986078941;170448.986078941
93;15;0;"Pinus nigra";"G";7.37241873358691;1.70441536230632;0.472585683945346;0.5;20905.6252282673;20905.6252282673
93;15;30;"Pinus nigra";"G";10.0882602432519;1.8581710081755;0.610510759926577;0.5;40520.9911583367;40520.9911583367
93;30;0;"Pinus nigra";"G";12.0754640942171;2.44126683451521;0.482360635099369;0.5;73903.7399380835;73903.7399380835
93;30;30;"Pinus nigra";"G";16.5238070086175;2.66149399696696;0.619786062672686;0.5;148651.573834772;148651.573834772
94;15;0;"Pinus nigra";"G";7.41967599023385;1.692500621878;0.57624530155382;0.5;23404.4130773268;23404.4130773268
94;15;30;"Pinus nigra";"G";10.2372224808514;1.86322357403014;0.60087859950842;0.5;42010.1510044009;42010.1510044009
94;30;0;"Pinus nigra";"G";12.1219010951194;2.4521261910594;0.512421809774292;0.5;79525.01019555;79525.01019555
94;30;30;"Pinus nigra";"G";16.7250697422574;2.6994727603757;0.537789313676488;0.5;138662.514465893;138662.514465893
95;15;0;"Pinus nigra";"G";7.29858826341832;1.64418339210295;0.448839823417317;0.5;19160.9631373796;19160.9631373796
95;15;30;"Pinus nigra";"G";10.3023460010764;1.91333992864076;0.647661610371628;0.5;44834.332709027;44834.332709027
95;30;0;"Pinus nigra";"G";12.0299237477992;2.45405426422662;0.480687028700925;0.5;74183.4852603918;74183.4852603918
95;30;30;"Pinus nigra";"G";16.9808779921977;2.85578849254178;0.676305636818312;0.5;184519.769816015;184519.769816015
96;15;0;"Pinus nigra";"G";7.49630806671226;1.68700871862781;0.599837657871489;0.5;24560.2222816864;24560.2222816864
96;15;30;"Pinus nigra";"G";10.4538511451579;1.92531694419019;0.768974518664292;0.5;54021.2029029196;54021.2029029196
96;30;0;"Pinus nigra";"G";12.1696917678534;2.43379319175136;0.58361825703044;0.5;86483.2539618766;86483.2539618766
96;30;30;"Pinus nigra";"G";16.9710402896221;2.77759280019905;0.756831441051388;0.5;182696.669224773;182696.669224773
97;15;0;"Pinus nigra";"G";7.42203648123023;1.6231972076078;0.522572460910299;0.5;19623.4404501292;19623.4404501292
97;15;30;"Pinus nigra";"G";10.1801817576713;1.96168139461803;0.612821463109147;0.5;45902.3661291096;45902.3661291096
97;30;0;"Pinus nigra";"G";12.1096975202849;2.43465252899367;0.510673396549443;0.5;78562.462026201;78562.462026201
97;30;30;"Pinus nigra";"G";16.6098512313548;2.94234893092585;0.601456253952554;0.5;175425.399895134;175425.399895134
98;15;0;"Pinus nigra";"G";7.36450064320127;1.66778237089139;0.683514835464816;0.5;26281.2807910807;26281.2807910807
98;15;30;"Pinus nigra";"G";10.1665626712952;2.01852147291667;0.842369741320333;0.5;55814.6452701771;55814.6452701771
98;30;0;"Pinus nigra";"G";12.1358254182726;2.42112591763462;0.678433678542607;0.5;91806.2291971085;91806.2291971085
