"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"27","Carpinus caroliniana",265.257282504895,2.65257282504895,265.979359960614,2.65979359960614,265.257282504895,2.65257282504895,265.979359960614,2.65979359960614,145899.613236427,1458.99613236427,146023.137523054,1460.23137523054
"28","Carya alba",350.38287501576,3.5038287501576,347.416059605387,3.47416059605387,350.38287501576,3.5038287501576,347.416059605387,3.47416059605387,797178.242425272,7971.78242425272,794395.789681994,7943.95789681994
"29","Carya cordiformis",392.627136287294,3.92627136287294,391.968203693819,3.91968203693819,392.627136287294,3.92627136287294,391.968203693819,3.91968203693819,470169.078486586,4701.69078486586,469302.373116308,4693.02373116308
"30","Carya glabra",359.608953537655,3.59608953537655,356.55071425506,3.5655071425506,359.608953537655,3.59608953537655,356.55071425506,3.5655071425506,1168568.56997723,11685.6856997723,1164813.45129745,11648.1345129745
"31","Carya ovata",370.655371023419,3.70655371023419,370.10592889096,3.7010592889096,370.655371023419,3.70655371023419,370.10592889096,3.7010592889096,767706.147147048,7677.06147147048,767285.113052782,7672.85113052782
"32","Carya texana",295.232810511749,2.95232810511749,294.031176937726,2.94031176937726,295.232810511749,2.95232810511749,294.031176937726,2.94031176937726,232291.886404782,2322.91886404782,231904.014528891,2319.04014528891
"33","Castanea sativa",515.296655147853,5.15296655147853,520.68310494005,5.2068310494005,515.785290775597,5.15785290775597,521.553383499357,5.21553383499357,633558.907405441,6335.58907405441,634576.773825316,6345.76773825316
"34","Celtis laevigata",369.174239778014,3.69174239778014,376.677108949612,3.76677108949612,369.174239778014,3.69174239778014,376.677108949612,3.76677108949612,256110.616468511,2561.10616468511,257060.029129981,2570.60029129981
"35","Celtis occidentalis",338.571726150871,3.38571726150871,339.520962672766,3.39520962672766,338.571726150871,3.38571726150871,339.520962672766,3.39520962672766,389710.405616613,3897.10405616613,390567.828893745,3905.67828893745
"36","Cornus florida",204.105557908921,2.04105557908921,204.247250920445,2.04247250920445,204.105557908921,2.04105557908921,204.247250920445,2.04247250920445,145191.319984911,1451.91319984911,145160.088451154,1451.60088451154
