"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"43","Larix decidua",20.0180942178266,0.200180942178266,21.0437729770179,0.210437729770179,20.0180942178266,0.200180942178266,21.0437729770179,0.210437729770179,-1284.34059767139,-12.8434059767139,-1236.19707516866,-12.3619707516866
"44","Larix laricina",16.2278721986972,0.162278721986972,16.6883126059378,0.166883126059378,16.5707409206855,0.165707409206855,17.0087333893328,0.170087333893328,-78152.5784918108,-781.525784918108,-72554.2314160967,-725.542314160967
"45","Larix occidentalis",15.8340453273254,0.158340453273254,16.0379741599958,0.160379741599958,15.8391997128703,0.158391997128703,16.0407543350802,0.160407543350802,-76031.0618051347,-760.310618051347,-74614.6929015899,-746.146929015899
"46","Liquidambar styraciflua",12.7486792208513,0.127486792208513,12.7515366664321,0.127515366664321,14.1703493483266,0.141703493483266,14.1278874777663,0.141278874777663,-503858.985115666,-5038.58985115666,-503407.77836468,-5034.0777836468
"47","Liriodendron tulipifera",11.1176068270475,0.111176068270475,11.1008342266867,0.111008342266867,12.8218854090627,0.128218854090627,12.753137904273,0.12753137904273,-606073.437229231,-6060.73437229231,-607613.034914826,-6076.13034914826
"48","Maclura pomifera",14.2241504759049,0.142241504759049,14.2854606408551,0.142854606408551,14.2241504759049,0.142241504759049,14.2854606408551,0.142854606408551,-34691.6423432522,-346.916423432522,-34468.8674135401,-344.688674135401
"49","Magnolia virginiana",10.9847149085079,0.109847149085079,11.0356475330545,0.110356475330545,11.0528226980264,0.110528226980264,11.0986549185389,0.110986549185389,-53423.2162209676,-534.232162209676,-53282.0550144415,-532.820550144416
"50","Morus rubra",14.3236491898285,0.143236491898285,14.3794073655955,0.143794073655955,14.3236491898285,0.143236491898285,14.3794073655955,0.143794073655955,-21857.1915823539,-218.571915823539,-21653.590683823,-216.53590683823
"51","Notholithocarpus densiflorus",15.855095365545,0.15855095365545,15.8744000692973,0.158744000692973,16.0056908997117,0.160056908997117,16.0203763119639,0.160203763119639,-45892.1707943422,-458.921707943422,-45610.5327918174,-456.105327918174
"52","Nyssa aquatica",9.8808193250501,0.098808193250501,9.94790552010177,0.0994790552010177,10.0312821575287,0.100312821575287,10.0965119796859,0.100965119796859,-53856.8308541137,-538.568308541137,-53394.7432597287,-533.947432597287
