"","species","a1","a2","comp"
"1284","Carya alba",0.245136888782259,1.01318528251624,-0.000504465918071875
"1285","Carya alba",0.910567463045308,0.656921772488979,-0.00461032139383422
"1286","Carya alba",0.706963242004475,0.716926154216366,-0.00160906496120898
"1287","Carya alba",0.844023094507413,0.657745534673004,0.00125242314071784
"1288","Carya alba",0.813774245297391,0.69177536014044,-0.00262503360410965
"1289","Carya alba",0.889211369659486,0.637669752188712,0.000764400206743
"1290","Carya alba",0.521803063056669,0.801890956056511,0.00204981478347097
"1291","Carya alba",0.655065450604793,0.686914908822738,0.00848437416281697
"1292","Carya alba",0.573472061923864,0.767470072296737,0.00188067062663203
"1293","Carya alba",0.330025077633646,0.90268771330129,0.00214273236048624
"1294","Carya alba",0.367044915172398,0.870010523944397,0.00400461663646433
"1295","Carya alba",0.611265775084813,0.7457041568467,0.00186943824631653
"1296","Carya alba",0.486182732022847,0.801160637209489,0.00165919195667091
"1297","Carya alba",0.42298901304696,0.835026619160451,0.00323208100648221
"1298","Carya alba",1.38765182242459,0.550099105050857,-0.0143704773336732
"1299","Carya alba",0.788276931872901,0.708688226963557,-0.00482723435936162
"1300","Carya alba",0.58624848422121,0.759566955891618,0.000155925990393268
"1301","Carya glabra",1.12535874334595,0.510560674972097,-0.000500102311543898
"1302","Carya glabra",0.645520949595756,0.723214105528069,-0.000678378905836382
"1303","Carya glabra",0.789006500864022,0.674154584858817,-0.00431259491829491
"1304","Carya glabra",1.42640242683815,0.507130220802607,-0.0105108413343403
"1305","Carya glabra",0.306364405835312,0.92342964349103,0.00123179693559066
"1306","Carya glabra",0.644201214278007,0.733224794986619,-0.00273016760963194
"1307","Carya glabra",0.748742785195605,0.69255672794238,-0.00282810368945838
"1308","Carya glabra",0.259639207088017,0.970262760771866,0.00229542070660085
"1309","Carya glabra",0.84091563612868,0.66096441326784,-0.00275048870972173
"1310","Carya glabra",0.920420079915608,0.609658042163751,0.00249069909825302
"1311","Carya glabra",1.5908494829827,0.463767775147295,-0.0041843861197818
"1312","Carya glabra",0.763800165090271,0.673819846504538,0.000878440685287477
"1313","Carya glabra",0.772306118096693,0.675909883027864,-8.8624275037794e-06
"1314","Carya glabra",0.37562580859337,0.875668988819994,0.000549875379514646
"1315","Carya glabra",0.372672366249594,0.882616750552439,9.09508881483331e-05
"1316","Carya glabra",0.82864612644856,0.655661385679926,0.000464568447056223
"1317","Carya glabra",1.31757701750106,0.441968620702763,-0.00231967764052989
"1318","Carya glabra",1.44667096694345,0.510254857413744,-0.00893372100726348
"1319","Carya glabra",0.538029448564005,0.75411571398159,0.00183074168559262
"1320","Carya glabra",1.21576262283554,0.486868999800664,-0.00195595104121185
"1321","Carya glabra",1.37811736513382,0.517962396075171,-0.00739253078157556
"1322","Carya glabra",0.5878342194442,0.698976951112234,0.00483958958684493
