"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"102","Pinus taeda",372.04137266712,3.7204137266712,372.013707912909,3.72013707912909,6862197.13035827,68621.9713035827
"103","Pinus uncinata",324.227938039556,3.24227938039556,329.608168429238,3.29608168429238,476488.869614122,4764.88869614122
"104","Pinus virginiana",366.17174552818,3.6617174552818,376.820824445844,3.76820824445845,1199146.77278637,11991.4677278637
"105","Platanus occidentalis",491.280230852945,4.91280230852945,491.3324207255,4.913324207255,270638.527770044,2706.38527770044
"106","Populus balsamifera",600.263276906297,6.00263276906297,629.859866379786,6.29859866379786,192230.188708812,1922.30188708812
"107","Populus deltoides",533.464058990785,5.33464058990785,543.569785310039,5.43569785310039,196453.466680434,1964.53466680434
"108","Populus grandidentata",329.63463279898,3.2963463279898,330.311832982879,3.30311832982879,1079156.65502702,10791.5665502702
"109","Populus nigra",595.521839570662,5.95521839570662,597.629956049363,5.97629956049363,186428.294829098,1864.28294829098
"110","Populus tremula",393.415153095777,3.93415153095777,426.384981035175,4.26384981035175,446503.11382661,4465.0311382661
"111","Populus tremuloides",346.32079734856,3.4632079734856,363.852066705301,3.63852066705301,3614634.85974121,36146.3485974121
"112","Prunus avium",407.319444737005,4.07319444737005,418.106979697238,4.18106979697238,485836.259302704,4858.36259302704
"113","Prunus pensylvanica",304.314203975296,3.04314203975296,304.314203975296,3.04314203975296,44660.3525038599,446.603525038599
"114","Prunus serotina",405.759903995492,4.05759903995492,421.447635955109,4.21447635955109,1629685.91794619,16296.8591794619
"115","Pseudotsuga menziesii",787.590943738653,7.87590943738653,804.010966014333,8.04010966014333,4902147.88609619,49021.4788609618
"116","Quercus alba",389.944932727858,3.89944932727858,390.448408613099,3.90448408613099,3525859.0402422,35258.590402422
"117","Quercus chrysolepis",382.966717274867,3.82966717274867,382.966717274867,3.82966717274867,282537.611740521,2825.37611740521
"118","Quercus coccinea",368.525295494114,3.68525295494114,369.653671344792,3.69653671344792,1005061.77866312,10050.6177866312
"119","Quercus ellipsoidalis",321.200423460054,3.21200423460054,321.200423460054,3.21200423460054,223573.595864218,2235.73595864218
"120","Quercus faginea",313.486603490573,3.13486603490573,313.486603490573,3.13486603490573,271198.119129981,2711.98119129981
"121","Quercus falcata",373.584872224918,3.73584872224918,374.399276813875,3.74399276813875,671819.776758777,6718.19776758777
"122","Quercus ilex",247.804833380467,2.47804833380467,400.012524452931,4.00012524452931,1450787.37720248,14507.8737720248
"123","Quercus kelloggii",491.054681947598,4.91054681947598,491.054681947598,4.91054681947598,331398.189292359,3313.98189292359
"124","Quercus laurifolia",417.506847193238,4.17506847193238,417.506847193238,4.17506847193238,442348.35166728,4423.4835166728
"125","Quercus lyrata",421.565916168143,4.21565916168143,421.565916168143,4.21565916168143,100364.399031149,1003.64399031149
"126","Quercus macrocarpa",369.162945472107,3.69162945472107,369.162945472107,3.69162945472107,410478.561203988,4104.78561203988
"127","Quercus marilandica",325.246036202467,3.25246036202467,325.246036202467,3.25246036202467,235552.915675329,2355.52915675329
"128","Quercus michauxii",415.924351578051,4.15924351578051,419.13651531222,4.1913651531222,1671969.72843566,16719.6972843566
"129","Quercus muehlenbergii",449.865256935716,4.49865256935716,449.865256935716,4.49865256935716,157724.502490902,1577.24502490902
"130","Quercus nigra",416.981333881978,4.16981333881978,418.131321437766,4.18131321437766,755471.940654124,7554.71940654124
"131","Quercus pagoda",407.149331301395,4.07149331301395,407.149331301395,4.07149331301395,239511.803582451,2395.11803582451
"132","Quercus petraea",469.587578083691,4.69587578083691,477.334553468782,4.77334553468782,4579893.82262728,45798.9382262728
"133","Quercus phellos",418.30340943402,4.1830340943402,424.055356790003,4.24055356790003,277450.916658669,2774.50916658669
"134","Quercus pubescens",407.432913982376,4.07432913982376,407.432913982376,4.07432913982376,813292.718945006,8132.92718945006
"135","Quercus pyrenaica",435.028864727683,4.35028864727683,534.910581401504,5.34910581401504,591842.398908946,5918.42398908947
"136","Quercus robur",463.268657055454,4.63268657055454,503.17237258423,5.0317237258423,5816133.1701062,58161.331701062
"137","Quercus rubra",400.973265613561,4.00973265613561,402.869280081037,4.02869280081037,2687081.33871328,26870.8133871328
"138","Quercus stellata",403.39224569738,4.0339224569738,414.077780738618,4.14077780738618,1571803.12119391,15718.0312119391
"139","Quercus suber",229.478837973565,2.29478837973565,230.175822581569,2.30175822581569,606878.53453907,6068.7853453907
"140","Quercus velutina",397.505139493462,3.97505139493462,397.981892703165,3.97981892703165,1868961.95039822,18689.6195039822
"141","Quercus virginiana",405.326857945285,4.05326857945285,405.326857945285,4.05326857945285,226481.370154277,2264.81370154277
"142","Robinia pseudoacacia",461.250463134641,4.61250463134641,466.128617870254,4.66128617870254,729073.194751094,7290.73194751094
"143","Sabal palmetto",380.36341650066,3.8036341650066,380.36341650066,3.8036341650066,123190.675782916,1231.90675782916
"144","Salix",462.668857221255,4.62668857221255,476.379449099037,4.76379449099037,31752.4812825816,317.524812825816
"145","Salix caprea",362.292187878456,3.62292187878456,362.760772243857,3.62760772243857,204222.139984548,2042.22139984548
"146","Salix nigra",501.578491461773,5.01578491461773,501.578491461773,5.01578491461773,179201.478388476,1792.01478388476
"147","Sassafras albidum",402.521696115419,4.02521696115419,402.521696115419,4.02521696115419,367587.264645985,3675.87264645985
"148","Sorbus aria",341.269447756132,3.41269447756132,344.349528351812,3.44349528351812,75348.6575831288,753.486575831288
"149","Sorbus aucuparia",417.922844308657,4.17922844308657,498.676223087791,4.98676223087791,30117.0987587818,301.170987587818
"150","Sorbus torminalis",303.559780417591,3.03559780417591,352.679489964902,3.52679489964902,82099.5561759872,820.995561759872
"151","Taxodium distichum",457.688539193131,4.57688539193131,457.688539193131,4.57688539193131,329139.190729176,3291.39190729176
"152","Thuja occidentalis",215.861522161941,2.15861522161941,219.428535718992,2.19428535718992,1640309.68840784,16403.0968840784
"153","Thuja plicata",623.278463297157,6.23278463297157,624.164225006947,6.24164225006947,601490.945776258,6014.90945776258
"154","Tilia americana",425.606089703481,4.25606089703481,430.317092535307,4.30317092535307,1018894.34320874,10188.9434320874
"155","Tilia cordata",392.686085492569,3.92686085492569,394.26823317187,3.9426823317187,159124.090351923,1591.24090351923
"156","Tilia platyphyllos",398.684772918748,3.98684772918748,408.203398332411,4.08203398332411,100503.097178601,1005.03097178601
"157","Triadica sebifera",307.785615201767,3.07785615201767,307.785615201767,3.07785615201767,100807.659411452,1008.07659411452
"158","Tsuga canadensis",356.311827710649,3.56311827710649,375.528397555355,3.75528397555355,1550382.19709905,15503.8219709905
"159","Tsuga heterophylla",686.313030442741,6.86313030442741,692.955420338632,6.92955420338632,1935411.55685457,19354.1155685457
"160","Tsuga mertensiana",544.798465357877,5.44798465357877,545.570747904572,5.45570747904572,640524.579356417,6405.24579356417
"161","Ulmus alata",335.452705884677,3.35452705884677,335.452705884677,3.35452705884677,426238.965309136,4262.38965309136
"162","Ulmus americana",363.21592708601,3.6321592708601,364.276616378743,3.64276616378743,907374.913653419,9073.74913653419
"163","Ulmus minor",477.110283078572,4.77110283078572,480.023033751092,4.80023033751092,63070.9465077043,630.709465077043
"164","Ulmus rubra",372.794192811559,3.72794192811559,372.794192811559,3.72794192811559,256024.862792776,2560.24862792776
