"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"52","Juniperus virginiana",263.422453090318,2.63422453090318,263.495366046771,2.63495366046772,1180858.49138313,11808.5849138313
"53","Larix decidua",526.943261756696,5.26943261756696,563.692450352872,5.63692450352872,362497.861535314,3624.97861535314
"54","Larix kaempferi",830.444800743102,8.30444800743102,847.291108876192,8.47291108876192,42301.3630518213,423.013630518213
"55","Larix laricina",287.986786697969,2.87986786697969,288.477771283448,2.88477771283448,542197.236494773,5421.97236494773
"56","Larix occidentalis",478.099772259313,4.78099772259313,478.099772259313,4.78099772259313,608372.878529269,6083.72878529269
"57","Liquidambar styraciflua",384.277689325756,3.84277689325756,390.608369284596,3.90608369284596,2194580.89119042,21945.8089119042
"58","Liriodendron tulipifera",409.381506710578,4.09381506710578,410.151792506861,4.10151792506861,2471344.00009439,24713.4400009439
"59","Maclura pomifera",261.198060559839,2.61198060559839,261.198060559839,2.61198060559839,106798.323378703,1067.98323378703
"60","Magnolia virginiana",365.886834376484,3.65886834376484,365.886834376484,3.65886834376484,275684.357028047,2756.84357028047
"61","Myrica faya",355.501980072928,3.55501980072928,355.501980072928,3.55501980072928,27932.7048164621,279.327048164621
"62","Notholithocarpus densiflorus",469.721983225701,4.69721983225701,469.721983225701,4.69721983225701,302969.122017786,3029.69122017786
"63","Nyssa aquatica",481.173864296523,4.81173864296523,481.173864296523,4.81173864296523,140133.108938212,1401.33108938212
"64","Nyssa sylvatica",376.627906242766,3.76627906242766,378.845328066578,3.78845328066578,1424216.33752581,14242.1633752581
"65","Olea europaea",200.825286246702,2.00825286246702,215.647283063934,2.15647283063934,42931.2091860815,429.312091860815
"66","Ostrya virginiana",277.361542763736,2.77361542763736,291.061053210249,2.91061053210249,345494.34223607,3454.9434223607
"67","Oxydendrum arboreum",316.140490480345,3.16140490480345,316.140490480345,3.16140490480345,521325.34943143,5213.2534943143
"68","Picea",524.539268527028,5.24539268527028,524.801606686749,5.24801606686749,67119.4878899657,671.194878899657
"69","Picea abies",441.68917537602,4.4168917537602,445.967602427493,4.45967602427493,3573206.97912241,35732.0697912241
