"","(Intercept)","h_nocomp","rep_diam","rep_height","rep_ratio","df","logLik","AICc","delta","weight","cond","order"
"131",-0.953790554941739,NA,NA,0.0447409965062408,0.0433758915922859,4,41.3240786085695,-73.1096956786775,29.4922951235843,2.16358769740993e-07,"suppressed","angio"
"91",-0.916717985986741,NA,NA,NA,0.0377563968792324,3,39.8484382293198,-72.8079875697506,29.7940032325112,1.86062743291951e-07,"suppressed","angio"
"17",-0.944767225336099,NA,NA,NA,NA,2,38.0661486282456,-71.7037258279198,30.8982649743421,1.07120361429773e-07,"suppressed","angio"
"21",-0.944372440379947,0.0148665536545963,NA,NA,NA,3,39.1579014306357,-71.4269139723825,31.1750768298794,9.32745362906191e-08,"suppressed","angio"
"51",-0.976823713724436,NA,NA,0.0347717175474471,NA,3,38.866839717941,-70.8447905469931,31.7572002552688,6.97198755029485e-08,"suppressed","angio"
"101",-0.921907640616079,0.00662882457594492,NA,NA,0.0305337796149618,4,40.0153459546944,-70.4922303709273,32.1097604313345,5.84519674032547e-08,"suppressed","angio"
"141",-0.953890064551318,0.00057067682482154,NA,0.0443218954810067,0.0427014557088252,5,41.3252961099771,-70.2505922199543,32.3513985823076,5.17997991300077e-08,"suppressed","angio"
"61",-0.970901506802841,0.0130678473803792,NA,0.0287243043999498,NA,4,39.7229071087953,-69.907352679129,32.6946381231329,4.36309386620195e-08,"suppressed","angio"
"22",0.781900664587383,0.191377688198428,NA,NA,NA,3,8.18269229171287,-8.95361987754338,0,0.341324841409148,"codominance","gymno"
"62",1.16487514873845,0.185291298440373,NA,0.505944224544547,NA,4,9.08656911075364,-7.67313822150728,1.2804816560361,0.179934664485756,"codominance","gymno"
"82",1.34478320985717,0.233130459301887,1.40266214884121,1.08666667095258,NA,5,10.582088326699,-7.16417665339799,1.78944322414539,0.139506755395767,"codominance","gymno"
"142",1.07570458104767,0.18517286772668,NA,1.02646550629326,0.76172854880188,5,10.5238884747714,-7.0477769495429,1.90584292800048,0.131619235409731,"codominance","gymno"
"102",0.705131565340291,0.192353758779637,NA,NA,0.121025946401011,4,8.23708651538809,-5.97417303077619,2.97944684676719,0.076946564587707,"codominance","gymno"
"42",0.751334113132752,0.197831325502106,0.165111788054803,NA,NA,4,8.21627724830765,-5.93255449661529,3.02106538092809,0.0753619079287639,"codominance","gymno"
"162",1.23421300163578,0.221075977857421,1.05177340977395,1.32411804174226,0.560077186691447,6,11.3460079346394,-4.69201586927881,4.26160400826457,0.0405296025309355,"codominance","gymno"
"122",0.707664010101232,0.194238093493631,0.0521751133959588,NA,0.101806233322611,5,8.23907701337495,-2.47815402674989,6.47546585079349,0.0133979500316481,"codominance","gymno"
