"","species","a1_h_mean","a2_h_mean","ci_h_mean","a1_h_sd","a2_h_sd","ci_h_sd","a1_rcd_mean","a2_rcd_mean","ci_rcd_mean","a1_rcd_sd","a2_rcd_sd","ci_rcd_sd","a1_cd_mean","a2_cd_mean","ci_cd_mean","a1_cd_sd","a2_cd_sd","ci_cd_sd"
"11","Carya glabra",2.32350816191646,0.652177405100416,0.0111266068894309,0.0754601348767098,0.00849114460036782,0.000815068722569598,-0.271795392773627,-0.00244296723247035,-0.00796793264129497,0.0422054359564812,0.00088432297010353,0.00138717447802101,0.839187861543876,0.662576456531055,-0.00140303059670616,0.309949918382312,0.105128741205383,0.00355672796397043
"12","Fagus grandifolia",2.22281735668274,0.615195269093774,0.0124561515305171,0.0903807167398531,0.0103476019284157,0.000998521155103561,0.41393128797906,-0.0120994225160531,-0.00903607046914979,0.0523882847094798,0.00108584089727147,0.0016149410159507,1.4192898622631,0.549494119094097,0.00431108325361667,0.683652743077289,0.121375816012822,0.00685771707709332
"13","Fagus sylvatica",3.00698487968467,0.530080504819527,0.0129110853053645,0.0561596538023693,0.00458227035654337,0.000677132798987517,-0.126877584935444,0.00399428119091848,0.00140750779861999,0.172723293194837,0.00301071330715708,0.00274019792263641,1.28562750248681,0.490344550713082,0.00538095438490143,0.14548600284609,0.0272583319186475,0.00209678465353619
"14","Fraxinus americana",2.47879587531843,0.607173189840492,0.0179330551977541,0.0613899907367774,0.00654170327380479,0.00107545035717823,-0.481999210988255,-0.00178013763079382,-0.0141646407293588,0.0492310208607119,0.00105854453665783,0.00141488574470885,0.901150928987462,0.616350100163608,7.66621666793514e-05,0.268939490495343,0.0817496714642336,0.00387686116545137
"15","Fraxinus nigra",2.47429186242066,0.587464699290652,0.0165053942805258,0.112748706221371,0.0135219664066601,0.00160124287803727,-0.309090648326478,-0.00669546087221719,-0.0130342378518467,0.0595683375566233,0.00181753662334383,0.00163088034510044,1.16750159088266,0.52639060409898,-0.00641155693396657,0.826568177288141,0.193845314907337,0.00816344551677149
"16","Fraxinus pennsylvanica",2.55685169196836,0.577740153223441,0.0214081509648681,0.111124457404358,0.0114549891533163,0.0019601877412638,-0.355762863416173,-0.00332049139308437,-0.0115684245638697,0.041800566647486,0.0010343713748402,0.00143859442922937,1.01225121595764,0.622183621637632,-0.00622877529527398,0.636043111376958,0.155363994433128,0.0089317678864842
"17","Juniperus virginiana",1.59561629414436,0.605641223498951,0.0174504419096907,0.0691122334221136,0.0126387558981719,0.0011200171222125,0.564056104602848,-0.0100919720383405,-0.0255695341862342,0.0760946803744105,0.00234631964434185,0.00224879069203973,0.5905663272455,0.773511579694649,-0.000698698750788236,0.508275487419587,0.206637563344102,0.00610358876857709
"18","Liquidambar styraciflua",2.23878132383129,0.657942202904636,0.0123850221088618,0.056033187795762,0.00663172131173691,0.000720569263752162,-0.235217879929107,-0.00427786383049998,-0.00859499040341039,0.0352879587332166,0.000815880877148286,0.0010274885114136,0.663889083566022,0.657483427971708,0.00103937932526874,0.195337521063545,0.0771911564522497,0.00218763253782272
"19","Liriodendron tulipifera",2.75823568994035,0.614414018898476,0.0152661755519816,0.0561056767944103,0.00509730802083585,0.000929966661160807,-0.428372298306395,-0.0016211003287068,-0.00986142016492757,0.0332437211323076,0.000652279624310961,0.00108963775389468,1.01306394500946,0.56148356173778,-0.00118356134102661,0.200990504369661,0.0506791043616039,0.00311705313293396
"20","Nyssa sylvatica",1.9484176075147,0.651648455534642,0.0124220900186224,0.0650438224327029,0.00901103374398459,0.000975624597448978,-0.274842625805026,-0.00501500811900191,-0.00745134141821322,0.0429697588604259,0.000987181376103921,0.00126621710821763,1.94117465307514,0.398031400917889,-0.00594911959784942,1.04070944270891,0.133273071913274,0.0142930502068315
