"","species","hmax","height_15","height_30","ratio_15","ratio_30","diameter_15","diameter_30","depth_15","depth_30","new_gp","volume_15","volume_30","short_names"
"11","Fagus grandifolia",33.5732881667483,13.1978281240439,19.6293112059409,0.499206353024688,0.486182449760522,6.4220829375227,3.50953767915266,6.58843964565064,9.54342660921598,"angio",142.276447924289,61.5464176012177,"Fa gra"
"12","Fagus sylvatica",29.2854335500959,13.5085748901454,19.8573455335792,0.521691515869518,0.527353774908227,5.25253055681513,2.07391522353645,7.04730891167686,10.47184612679,"angio",101.802655425827,23.5832618708078,"Fa syl"
"13","Fraxinus americana",31.2803222477086,14.2534259034898,21.4263289737518,0.336108403870132,0.366319203179066,4.67302612622039,5.97465004267069,4.79069623010313,7.84887575671728,"angio",54.7764237266934,146.700306453902,"Fr ame"
"14","Fraxinus excelsior",29.5273480752688,15.2983017926468,22.0795876802567,0.441174764999095,0.484461397684609,3.81186494062853,8.26332359064194,6.74922469825618,10.696707907877,"angio",51.3484712939417,382.435570251111,"Fr exc"
"15","Fraxinus nigra",23.2316393084687,13.4991079473635,19.2346401338852,0.351265433215452,0.356471651937027,4.03176258871702,4.69398982830587,4.74177000115281,6.85660394294028,"angio",40.3579416780481,79.1028215391839,"Fr nig"
"16","Fraxinus pennsylvanica",29.0248944269395,13.8195830519588,20.0758006901495,0.360616491274884,0.379889148018922,5.15920361997238,4.27627275497388,4.98356955107923,7.62657881997857,"angio",69.4551547533251,73.0229177105862,"Fr pen"
"17","Liquidambar styraciflua",35.9960158270772,14.398261271044,22.4250963446012,0.385743497030569,0.383937635072915,3.99494130638357,6.33538106076507,5.55403565385232,8.60983845682844,"angio",46.4117657672988,180.941884547331,"Li sty"
"18","Liriodendron tulipifera",40.7317201798472,15.7903156386402,23.9922893503259,0.353703650023218,0.375102684163989,4.38767086859289,6.53880526679223,5.58509227640575,8.99957213454635,"angio",56.2985306415584,201.473203603624,"Li tul"
"19","Notholithocarpus densiflorus",30.6684770381474,10.8455893524306,17.4576636738328,0.409632184990649,0.453413333700895,4.631386379142,1.88310846252803,4.44270246394748,7.91553748498156,"angio",49.8962467945129,14.6970341165957,"No den"
"20","Nyssa sylvatica",26.7852860359259,12.6680863522725,19.5563542703554,0.368273199352663,0.362671324136826,5.62385149218308,0.798283588847066,4.66531669062719,7.09252889851869,"angio",77.2587077640666,2.36654157534977,"Ny syl"
"21","Oxydendrum arboreum",26.0498593523415,13.8865769502277,19.3451584689954,0.340947199295602,0.387257063935095,5.10423984150093,2.66899433337624,4.734589518983,7.49154927006231,"angio",64.5867008462258,27.9425197052371,"Ox arb"
"22","Populus tremuloides",27.6440078995776,14.2705075333433,20.3051211016644,0.324073031060685,0.328372913986308,3.42965649798927,10.543414994065,4.6246866311049,6.66765178499841,"angio",28.4827673343375,388.09150369157,"Po tre"
"23","Prunus serotina",36.6931042335427,13.6611059803007,20.3517685719341,0.326711665598855,0.322844156668551,4.70627745567871,3.81661880518532,4.46324268874652,6.5704495613196,"angio",51.7611812484949,50.1131012254941,"Pr ser"
"24","Quercus alba",28.5345862678745,13.2482951417227,20.8212703413449,0.393235978252544,0.423138172263821,4.41205954934299,10.9896075187003,5.20970630023375,8.81027427644758,"angio",53.1000088728286,557.124703390004,"Qu alb"
"25","Quercus chrysolepis",35.4365972076533,9.45840760358145,14.8582565041706,0.448719654322449,0.461116086256354,4.79580464443278,1.94194310414193,4.24417339031989,6.85138108779614,"angio",51.1110388616239,13.5285032427989,"Qu chr"
"26","Quercus coccinea",34.6193730437992,14.2535080333533,21.1217705524809,0.368445682421663,0.395000055168855,4.36545976178345,20.2997254336373,5.25164349425153,8.34310053349387,"angio",52.4027209533675,1800.14059928789,"Qu coc"
"27","Quercus faginea",10.1685612053585,7.34663353802101,10.3745479587676,0.64630528761878,0.675881739677794,4.26759074769409,2.84095212421978,4.74816810182044,7.01196752274254,"angio",45.2783130891198,29.6323673065321,"Qu fag"
"28","Quercus falcata",30.2614263853288,13.5916101804966,20.561303039387,0.395791300916143,0.421516969005631,4.63886810757916,8.62514269279984,5.37944107488385,8.66693813596868,"angio",60.612169167848,337.595692214335,"Qu fal"
"29","Quercus ilex",7.75470078670922,5.90010952137188,7.48873078540561,0.496465694156549,0.507644310685205,4.4379322782515,3.19312745894144,2.92920196912755,3.8016115774643,"angio",30.2071172400455,20.295458770482,"Qu ile"
"30","Quercus macrocarpa",20.0476518506983,10.8679864421327,16.7009457230011,0.434218302439708,0.455173450554746,4.19305809334487,13.7573637244176,4.71907862384061,7.60182709226592,"angio",43.4427785368881,753.333097546062,"Qu mac"
"31","Quercus michauxii",25.6924429077918,13.924049027436,20.5693243217601,0.358425041383374,0.404264205429292,4.36459215132752,7.43308834295431,4.99072784888289,8.31544155315374,"angio",49.7794214560428,240.559507862201,"Qu mic"
"32","Quercus nigra",41.5037926464584,14.2765673340665,20.7642353986268,0.431099214705692,0.444142538505005,5.1357323497008,5.92602487854692,6.154616966409,9.22228022006159,"angio",84.99716031694,169.575801047382,"Qu nig"
"33","Quercus petraea",29.4404064286613,13.3263759679958,19.4713480516271,0.594256748974485,0.593295235199565,4.9675622085122,1.2781859352781,7.91928885835288,11.5522580219427,"angio",102.322569028553,9.88219846284023,"Qu pet"
"34","Quercus robur",24.4531070991836,12.361812520816,18.2823589208466,0.547097469007987,0.54549530548819,4.97486806973143,1.72857763622419,6.76311634248968,9.97294096457195,"angio",87.6412608293067,15.6026961271852,"Qu rob"
"35","Quercus rubra",28.9691495991505,14.1398179320121,20.6693551379843,0.369970192466588,0.395633982951789,4.40658750516453,9.76707693247273,5.23131116174901,8.17749929828573,"angio",53.1880382714679,408.458892002008,"Qu rub"
"36","Quercus stellata",19.0808799796295,11.6741012716922,16.6887524697459,0.396778000096609,0.441461869203112,4.55499507352057,10.3273917418918,4.6320265555073,7.36744785996209,"angio",50.3205623720114,411.430985109784,"Qu ste"
"37","Quercus velutina",27.263852150182,13.3806100399854,20.1446027289397,0.36927690093745,0.392089418895973,4.44779347862334,8.00709514883185,4.94115020821834,7.89848557788021,"angio",51.1818413395012,265.150487766202,"Qu vel"
"38","Robinia pseudoacacia",24.499949008584,13.9698387270548,20.0841838868436,0.266763390125798,0.279989510578984,5.01394723848464,2.13840665166304,3.72664153833979,5.62336081685566,"angio",49.054150810491,13.4640329579281,"Ro pse"
"39","Tilia americana",26.9845739588454,13.5555243848059,21.0836824700997,0.361403774212665,0.390079752452447,4.38976183207415,7.87541380219812,4.89901767410066,8.2243176387225,"angio",49.4298787053006,267.082395255828,"Ti ame"
"40","Ulmus americana",27.3779945127901,12.4943144796734,18.2032394171633,0.383037550756017,0.40982169107271,5.04453221174256,20.1155191446404,4.78579161666955,7.46008236094326,"angio",63.7667387180738,1580.53724849527,"Ul ame"
"41","Abies alba",34.3984471857621,11.7294795563004,19.8167537403061,0.522739590592109,0.521591627947436,3.9347804311799,0.799289047034056,6.13146334111901,10.3362528440397,"gymno",37.2790663909503,2.59316847666501,"Ab alb"
"42","Abies balsamea",19.8457490787759,11.7149743995973,17.6278713468263,0.534466959257922,0.555402134393494,2.58219774620793,12.7628638420956,6.26126674513718,9.79055737084122,"gymno",16.3946098994891,626.272835308601,"Ab bal"
"43","Abies concolor",57.1223764171917,9.10733190785963,16.4919307591388,0.592250980877968,0.588294520838266,3.51899890991995,1.44614282895302,5.39382625561109,9.70211250364542,"gymno",26.2298074974826,7.96798611738537,"Ab con"
"44","Abies grandis",41.5863257741457,11.1088030707514,20.2413993600169,0.583437735587335,0.584364789828964,3.93942436772199,1.90575502085634,6.48129490868485,11.8283610828604,"gymno",39.499100215922,16.8701368140758,"Ab gra"
"45","Abies lasiocarpa",25.406477178093,10.4048704205081,18.5154961189668,0.628969549933161,0.635406216219058,2.63353042745899,2.58240701860967,6.54434666549987,11.7648613303713,"gymno",17.8239051877651,30.8103112119299,"Ab las"
"46","Juniperus virginiana",17.9920772628208,9.68046191290379,13.7374164270857,0.516767411217227,0.530854916727278,4.17822135871125,14.1879243195627,5.00254724211825,7.2925750534485,"gymno",34.2952500722471,576.472400491278,"Ju vir"
"47","Larix decidua",28.015073021012,11.6859396295294,19.501114096488,0.413315813357922,0.446611776661322,2.55626719205432,9.63009732156551,4.8299836428305,8.70942721350768,"gymno",12.3941868196357,317.183678847129,"La dec"
"48","Picea abies",33.0890942347594,12.677166611664,21.7209372483397,0.508321774938118,0.515909992739635,3.3651542106559,3.29994350852597,6.44407983322731,11.206048578089,"gymno",28.6570010465331,47.920947574558,"Pi abi"
"49","Picea mariana",21.8875974009145,12.1883275665725,18.8248939464772,0.496430088571176,0.562141464244384,2.32210991118654,5.62610486276445,6.05065253340809,10.5822534473179,"gymno",12.8123160648326,131.538743665643,"Pi mar"
"50","Pinus contorta",22.1451650534429,11.4820329797591,19.1403995996153,0.459860935754546,0.49594641730567,2.54154600679228,10.4782380441086,5.28013843043658,9.49261260722808,"gymno",13.3937178431461,409.281547074127,"Pi con"
"51","Pinus echinata",30.2940393181675,13.1742899903703,20.9689148305568,0.327599138154495,0.39959483325385,3.16801115177748,15.5256245448279,4.31588604664269,8.37907002523053,"gymno",17.0099586729946,793.147326155291,"Pi ech"
"52","Pinus elliottii",38.5726651511022,14.2553853994749,21.6682440911757,0.31477318778873,0.359438604932484,3.32100227490207,20.7774629896069,4.48721310534962,7.78840342746875,"gymno",19.4345696065758,1320.36304234279,"Pi ell"
"53","Pinus nigra",23.5122051321377,8.37355131836549,13.4105575763377,0.631473372629742,0.634246614403226,3.48731383520161,3.16623107649369,5.28767469189648,8.50560074005173,"gymno",25.2526337427006,33.4849837692436,"Pi nig"
"54","Pinus pinaster",23.2225385023833,9.09549943710095,14.4155049822896,0.717908105514121,0.711870642747065,3.32339725878998,3.06889999742842,6.52973276959389,10.261974797266,"gymno",28.3217319690672,37.9538907441376,"Pi pin"
"55","Pinus ponderosa",78.1685550584615,8.72654878463161,15.5335572222952,0.519492400222819,0.527052791639045,3.09855365112978,7.82360492998418,4.5333757737898,8.18700469809551,"gymno",17.0922661110473,196.788061970525,"Pi pon"
"56","Pinus resinosa",26.0772735772556,11.5807319957381,18.5772495499657,0.419704624328291,0.416301813404717,3.71866362468245,2.98712442661798,4.86048677171786,7.73374267572268,"gymno",26.3945001814192,27.0991850047749,"Pi res"
"57","Pinus strobus",35.4522147670826,11.0552607406327,18.227288073371,0.453604393915182,0.450541507296915,3.69380197721928,7.67080257368318,5.01471484782898,8.21214984251164,"gymno",26.8691140828942,189.757242805908,"Pi str"
"58","Pinus sylvestris",22.8226578401339,9.76423486069681,15.5149867829975,0.486263017302939,0.490833759210289,3.81666546412032,1.40684494107226,4.74798630501697,7.61527928679659,"gymno",27.1604857979481,5.91886163569733,"Pi syl"
"59","Pinus virginiana",26.534252767506,13.0898623867342,20.396322697573,0.31851746102518,0.336005903336668,3.61215949071723,10.476454222191,4.16934973259158,6.8532848327442,"gymno",21.3629905034599,295.38423113148,"Pi vir"
"60","Pseudotsuga menziesii",79.8816025293916,11.5398847746366,19.4239804839821,0.542487792317617,0.537526589208076,3.53907148925632,4.27094551414429,6.26024661499231,10.4409059783991,"gymno",30.7914399303892,74.7904476508672,"Ps men"
"61","Thuja occidentalis",17.469994423534,9.40652337224435,13.6950101502682,0.463400268183383,0.521189057060073,3.13050522466809,4.7972921539644,4.35898545337129,7.13768942664642,"gymno",16.7754497057136,64.5074490779126,"Th occ"
"62","Tsuga canadensis",50.5304957428462,10.4398880604901,16.8051497085249,0.53852682178428,0.544583380314255,5.45582583766334,1.69792213780382,5.6221597369994,9.15180523495559,"gymno",65.7179583405488,10.3610124680462,"Ts can"
"63","Tsuga heterophylla",50.5869983113418,11.1590015718333,20.2674648506399,0.523574570670747,0.525851069126073,4.03921147635517,4.52426001311501,5.84256945708679,10.6576680601841,"gymno",37.4331998578107,85.667715935607,"Ts het"
