;species;a1_h_mean;a2_h_mean;a3_h_mean;sd_h_a1;sd_h_a2;sd_h_a3;a1_rcd_mean;a2_rcd_mean;sd_rcd_a1;sd_rcd_a2;a1_cd_mean;a2_cd_mean;sd_cd_a1;sd_cd_a2
41;Populus tremuloides;27.6440078995776;0.0328125904326489;0.800846481481698;1.01846288148785;0.0043935625333747;0.0534071969331793;-0.755069274356319;0.000631447713159779;0.0215321964031778;0.000677938887482922;0.426751184142338;0.769562636422183;0.090493212331611;0.0630681409937267
42;Prunus serotina;36.6931042335427;0.0184672526661293;0.766752807166967;4.37702498696327;0.00460590419125076;0.0587620799161268;-0.705765213081248;-0.000565523095521003;0.0336709908723202;0.000848409817347233;1.02511578148446;0.562800380158286;0.402792294828967;0.112768900355903
43;Pseudotsuga menziesii;79.8816025293916;0.00696227324800887;0.888917894088107;4.14430217357567;0.000694521605024907;0.0175025733290678;0.189943751559527;-0.00156317029221041;0.0223058707638079;0.000251844527454526;0.726561105494721;0.584663124418329;0.223869564767422;0.0663964184426408
44;Quercus alba;28.5345862678745;0.0424433640468113;1.15603721966926;0.290114499565643;0.00182796741459475;0.0388417465077147;-0.575085127601244;0.00569534678403772;0.0179828578898821;0.000398407696163559;0.536017249517507;0.77839418710442;0.087488341429174;0.0450656119384934
45;Quercus chrysolepis;35.4365972076533;0.0128943044057077;0.845016267767995;27.1353592919425;0.00713102374167807;0.12740686853829;-0.258471595084452;0.00278187564426468;0.0858485157676506;0.0015799735954116;1.46499706574778;0.437912215684852;0.989458208653256;0.265284835374728
46;Quercus coccinea;34.6193730437992;0.0227499384737454;0.792192077935163;2.19254954878576;0.0042062059181879;0.060605243863874;-0.665731547429173;0.00463317543006791;0.0285155609189665;0.000668296645178027;0.369162479467386;0.91218468549632;0.159770993464757;0.12594024909413
47;Quercus faginea;10.1685612053585;0.0941938336779044;1.86330528194276;0.210863101400501;0.0210243767264163;0.673569079670301;0.450629906350069;0.0171997743782873;0.397032789758505;0.0193250392138515;1.08175397534543;0.506809535769499;0.159686552321054;0.0390033652977142
48;Quercus falcata;30.2614263853288;0.0318648124687362;0.9310408688964;0.961640447958306;0.00426625140585611;0.0782074232657528;-0.542221071089248;0.00490679377097109;0.0370590614893819;0.000744965002189426;0.647421174471099;0.727175819869786;0.162939256039016;0.0777673446111423
49;Quercus ilex;7.75470078670922;0.0431675835590916;0.704784310789755;0.144265166697827;0.00635094985830886;0.0847715287382375;-0.0609481457399643;0.00300599860150257;0.333080898833461;0.00913654373858445;1.06011782293159;0.528723030553714;0.0684943554981584;0.0162355990593062
50;Quercus macrocarpa;20.0476518506983;0.0577891378552834;1.35671040446301;0.466318279265096;0.00786715042530825;0.199274197702628;-0.357409822722092;0.00453202522850777;0.0589238050826606;0.00110650054272665;0.446916304855822;0.826725539054004;0.111367513260305;0.0674460079730474
51;Quercus michauxii;25.6924429077918;0.0481043982527629;1.06773639649006;0.339750265898031;0.00355296624575091;0.0717824305721185;-0.823866112095346;0.0079954761099336;0.0245095978466379;0.000535151930402465;0.662389453514246;0.696230204928121;0.143069118847205;0.0619300602117248
52;Quercus nigra;41.5037926464584;0.0131801048282821;0.676653773071396;7.06218072844208;0.00439787054548791;0.0569874128825286;-0.333336379393915;0.00274977426862057;0.0362251458425892;0.000763165484901601;0.883681678382364;0.649870089275749;0.222304945313298;0.0713754681586264
53;Quercus petraea;29.4404064286613;0.0264885109878447;0.802865254305665;0.396551764905166;0.00158369910125345;0.0280332413897637;0.385561339819709;-0.000388448712426485;0.0898852621789718;0.00203474385599816;1.83905794858293;0.366934025823189;0.332276266155161;0.0466345562992755
54;Quercus robur;24.4531070991836;0.0384473308274806;0.96158259892159;0.176754251777113;0.00157376985202263;0.0314659774091886;0.195372598883607;-0.000518886604099106;0.134305051305885;0.00271468897300922;1.60548880041299;0.417632801781615;0.212999315512663;0.0333945019232526
55;Quercus rubra;28.9691495991505;0.0328798916415419;0.862563298957867;0.439823784647883;0.00242882288725175;0.0434326236307108;-0.654260127885417;0.00449333096640134;0.0183168541440931;0.000354218133166949;0.572936315595306;0.753339539733475;0.130438262262704;0.061080704579054
56;Quercus stellata;19.0808799796295;0.0585544784692092;1.13484536249373;0.385564765601073;0.00642688722693171;0.118920157297262;-0.644088701500693;0.00884157250023162;0.0296122870694182;0.000750953338528548;0.573571355557358;0.76516209975266;0.154656798261397;0.0772947738549877
57;Quercus velutina;27.263852150182;0.0394201889613787;1.00918442227956;0.478423855137879;0.00312184677955259;0.0596744062377967;-0.642482873303724;0.00396646407789701;0.0208306806059972;0.00044483933059097;0.647397038073874;0.711657279296623;0.156011807033426;0.0663862668700623
58;Robinia pseudoacacia;24.499949008584;0.0484822115312714;0.99888201545174;0.834472506514248;0.0077632470886866;0.131455470877222;-1.0824520659788;0.00167016066181068;0.0637130527352485;0.00173743799310015;1.46239161435714;0.454995364858368;0.778665636784526;0.150892562894364
59;Thuja occidentalis;17.469994423534;0.0405647507162215;0.977285041290698;0.73784411067605;0.00566840677980483;0.0814532462934078;-0.448373727376107;0.0149947011660428;0.0316041635318538;0.00101864263605089;0.60406826977641;0.607545038305473;0.226432697256494;0.109199916885448
60;Tilia americana;26.9845739588454;0.0503146265587282;1.2426860215004;0.646570212483925;0.00568307405469556;0.123512062166797;-0.708645028917759;0.00490826027888408;0.0334810334241983;0.000823796626598635;0.644943648964985;0.708209657416473;0.213737539839;0.0893815104938785
61;Tsuga canadensis;50.5304957428462;0.00948138059438224;0.846230142503893;12.369339900693;0.00324075790317559;0.0491807695436015;0.129408294450705;0.00192122982545474;0.0336988769095757;0.000773884466555842;1.77546353567617;0.414550093137517;0.858726269359248;0.0951258239780008
62;Tsuga heterophylla;50.5869983113418;0.0187621101301868;1.16368667577408;1.3483325661594;0.00135794817271533;0.0420802329045802;0.0851558488742304;0.000671840826033741;0.0343729210996875;0.000433794423565981;0.804229086277844;0.595971452210806;0.364972905931168;0.134120303731279
63;Ulmus americana;27.3779945127901;0.0264556525726325;0.801302611412098;2.40157414070505;0.0070155361444773;0.0889425230518144;-0.602785220203115;0.00490393242212937;0.0363300381015955;0.00106849412084242;0.428935107128042;0.910158372356547;0.214977588888869;0.144402719121616
